ticker,cluster
AA,2
AAPL,6
ABBV,6
ABNB,0
ADBE,6
ADP,3
AFRM,3
AMD,1
AMT,4
AMZN,4
AVGO,6
BA,5
BAC,1
C,1
CAT,2
CMG,7
COP,2
COST,3
CRM,1
CRWD,4
CSCO,3
CVX,2
DAL,5
DE,2
DHR,0
DIS,6
DUK,2
EOG,2
EQIX,1
F,5
GD,5
GE,5
GM,5
GOOGL,4
GS,4
HD,2
HON,2
IBM,1
INTC,1
INTU,3
JNJ,0
JPM,1
KO,7
LLY,7
LMT,5
LOW,7
LULU,0
MA,1
MAR,0
MCD,7
META,4
MMM,7
MRK,0
MS,1
MSFT,3
NEE,2
NFLX,4
NKE,6
NOC,5
NOW,2
NVDA,1
O,0
OKTA,7
ORCL,3
PANW,3
PEP,7
PFE,6
PINS,4
PLD,7
PYPL,4
QCOM,6
RDDT,4
RTX,5
SBUX,6
SG,7
SHOP,6
SLB,2
SNAP,4
SO,2
SPG,0
T,4
TEAM,3
TGT,6
TJX,1
TMO,2
TMUS,4
TSLA,5
UAL,5
UBER,0
UNH,0
UPS,5
V,6
VZ,0
WDAY,2
WFC,7
WMT,7
XOM,2
ZM,0
ZS,3
